	c1	c2	c3	c4	c5	c6	c7	label
0	0.01398624197473987	1	0	1	1	0	0.0031627696825934715	1
1	0.042157118941436096	1	0	1	0	0	0.017734101434541953	1
2	0.07032799590813232	1	0	1	0	2	0.029933355924545352	1
3	0.01398624197473987	1	0	1	0	0	0.005195978764260701	1
4	0.1281168605412652	1	0	1	4	0	0.034338642268157686	1
5	0.05594496789895948	1	0	1	3	2	0.028013102902970745	1
6	0.07012960289091584	1	0	1	3	5	0.024172596859821524	1
7	0.09931553278138472	1	0	1	2	0	0.016604540833615723	1
8	0.09931553278138472	1	0	1	1	0	0.01140856206935502	1
9	0.08595974159982911	1	0	1	0	0	0.006099627245001695	1
10	0.08431423788287219	1	0	1	0	0	0.024511465040099392	1
11	0.02797248394947974	1	0	1	1	2	0.021122783237320673	0
12	0.01398624197473987	1	0	1	0	3	0.027561278662600247	0
13	0.028170876966696224	1	0	1	0	0	0.004405286343612334	1
14	0.01398624197473987	1	0	1	0	1	0.006325539365186941	1
15	0.01398624197473987	1	0	1	1	0	0.023381904439173155	1
16	0.09890136835218835	1	0	1	1	1	0.019767310516209197	1
17	0.02797248394947974	1	0	1	2	0	0.021800519597876416	1
18	0.07032799590813232	1	0	1	0	0	0.04698972099853157	1
19	0.14086009427640797	1	0	1	0	5	0.039195752852140504	1
20	0.042157118941436096	1	0	1	1	0	0.015474980232689487	1
21	0.056143360916175965	1	0	1	1	0	0.03817914831130689	1
22	0.8810598191072445	1	0	1	8	6	0.0935276177566926	1
23	0.07012960289091584	1	0	1	2	0	0.0236078165593584	1
24	0.02797248394947974	2	0	2	1	0	0.027674234722692863	1
25	0.08431423788287219	2	0	2	0	0	0.02247825595843217	1
26	0.08595974159982911	2	0	2	1	1	0.02733536654241499	0
27	0.05654585639353577	2	0	2	0	0	0.03603298316954703	1
28	0.05594496789895948	2	0	2	2	0	0.01965435445611656	1
29	0.02797248394947974	2	0	2	1	1	0.011747430249632892	1
30	0.01398624197473987	2	0	2	0	0	0.003501637862871343	1
31	0.11413061856652533	2	0	2	1	2	0.04439173161640121	1
32	0.0425596144187959	2	0	2	0	0	0.010617869648706653	1
33	0.12667545928445162	2	0	2	4	2	0.035581158929176536	1
34	0.01398624197473987	2	0	2	0	0	0.00858466056703942	1
35	0.05594496789895948	2	1	2	3	0	0.025979893821303512	1
36	0.05715841383994862	2	0	2	0	0	0.004405286343612334	1
37	0.028170876966696224	2	0	2	0	3	0.0059866711849090705	1
38	0.0711446558146885	2	0	2	0	0	0.014458375691855868	1
39	0.05715841383994862	2	0	2	0	0	0.0019202530215746078	1
40	0.02797248394947974	2	0	2	0	0	0.009488309047780412	1
41	0.02797248394947974	2	0	2	2	2	0.017847057494634586	1
42	0.01398624197473987	2	0	2	0	1	0.01174743024963289	1
43	0.02797248394947974	2	0	2	1	3	0.035581158929176536	1
44	0.1268738523016681	2	0	2	2	2	0.05467073308482999	1
45	0.07012960289091584	2	1	2	1	0	0.012312210550096014	1
46	0.0425596144187959	3	0	3	0	0	0.006664407545464814	1
47	0.028170876966696224	3	0	3	0	0	0.0016943409013893598	1
48	0.042157118941436096	3	0	3	0	0	0.01671749689370835	1
49	0.02797248394947974	3	0	3	1	0	0.024511465040099403	1
50	0.056143360916175965	3	0	3	1	0	0.028239015023155973	1
51	0.01398624197473987	3	0	3	0	2	0.014006551451485374	1
52	0.04195872592421961	3	0	3	1	0	0.024850333220377267	1
53	0.02797248394947974	3	0	3	1	0	0.012312210550096014	1
54	0.08411584486565571	3	0	3	6	1	0.04868406189992092	1
55	0.042157118941436096	3	0	3	0	0	0.0108437817688919	1
56	0.09830047985761206	3	0	3	1	0	0.028126058963063364	1
57	0.02797248394947974	3	0	3	1	0	0.023155992318987913	1
58	0.09830047985761206	3	0	3	3	0	0.0438269513159381	1
59	0.01398624197473987	3	0	3	0	0	0.00011295606009262397	1
60	0.09931553278138472	3	0	3	0	0	0.023946684739636268	1
61	0.09830047985761206	3	0	3	1	0	0.023607816559358407	1
62	0.10014437659178546	3	0	3	0	2	0.025076245340562516	1
63	0.01398624197473987	3	0	3	0	2	0.019315486275838695	1
64	0.07012960289091584	3	0	3	3	0	0.02213938777815429	1
65	0.07032799590813232	3	0	3	0	1	0.007003275725742686	1
66	0.042157118941436096	3	0	3	0	0	0.011408562069355022	1
67	0.01398624197473987	3	0	3	0	0	0.010053089348243534	0
68	0.01398624197473987	3	0	3	0	2	0.008132836326668925	1
69	0.042157118941436096	3	0	3	2	0	0.05726872246696034	1
70	0.01398624197473987	3	0	3	0	0	0.0021461651417598554	0
71	0.0	1	0	1	856	244	1.0001129560600925	1
