,SKU,Category,Price,Brand,Model,linkofproduct
15,TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6500FS (Black) (2020 Model),Smart Televisions,"₹ 17,999.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A06063853W2LSF5N2YVLK&url=%2FTCL-100-3cm-inches-Android-Smart%2Fdp%2FB07KCCWJTP%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1596287247%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-16-spons%26psc%3D1&qualifier=1604444512&id=3015057850281732&widgetName=sp_mtf_browse
16,Samsung 138 cm (55 Inches) Wondertainment Series Ultra HD LED Smart TV UA55TUE60AKXXL (Titan Gray) (2020 model),Smart Televisions,"₹ 49,999.00",,,https://www.amazon.in/Samsung-Inches-Wondertainment-Ultra-UA55TUE60AKXXL/dp/B086RB5VSJ/ref=sr_1_17?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-17
17,Kodak 80 cm (32 Inches) HD Certified Android LED TV 32HDX7XPRO (Black) (2020 Model),Smart Televisions,"₹ 10,999.00",,,https://www.amazon.in/Kodak-Inches-Certified-Android-32HDX7XPRO/dp/B08CS3BT4L/ref=sr_1_18?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-18
18,Onida 108 cm (43 Inches) Fire TV Edition Full HD Smart IPS LED TV 43FIF (Black) (2019 Model),Smart Televisions,"₹ 21,990.00",,,https://www.amazon.in/Onida-108-Inches-Full-Smart/dp/B08171NJL9/ref=sr_1_19?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-19
19,LG 139 cm (55 inches) 4K UHD Smart LED TV 55UM7290PTD (Ceramic BK + Dark Steel Silver) (2019 Model),Smart Televisions,"₹ 49,990.00",,,https://www.amazon.in/LG-inches-55UM7290PTD-Ceramic-Silver/dp/B07TKC14R5/ref=sr_1_20?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-20
20,TCL 138.78 cm (55 inches)  AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model),Smart Televisions,"₹ 34,999.00",,,https://www.amazon.in/TCL-138-78-Certified-Android-55P8/dp/B07TMRFDP8/ref=sr_1_21?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-21
21,TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black) (2020 Model),Smart Televisions,"₹ 23,999.00",,,https://www.amazon.in/TCL-inches-Certified-Android-43P615/dp/B08FD2VSD9/ref=sr_1_22?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-22
22,Sony Bravia 138.8 cm (55 inches) 4K Ultra HD Smart LED TV KD-55X7002G (Black) (2019 Model),Smart Televisions,"₹ 58,990.00",,,https://www.amazon.in/Sony-Bravia-inches-Ultra-KD-55X7002G/dp/B07STKNJ9R/ref=sr_1_23?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-23
23,OnePlus 138.8 cm (55 inches) Q1 Series 4K Certified Android QLED TV 55Q1IN-1 (Black) (Without Stand),Smart Televisions,"₹ 62,899.00",,,https://www.amazon.in/OnePlus-Certified-Android-55Q1IN-1-Without/dp/B07W5QZQ45/ref=sr_1_24?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-24
24,Vu 108 cm (43 inches) Full HD UltraAndroid LED TV 43GA (Black) (2019 Model),Smart Televisions,"₹ 24,999.00",,,https://www.amazon.in/inches-UltraAndroid-43GA-Black-Model/dp/B07XMD275S/ref=sr_1_25?dchild=1&fst=as%3Aoff&qid=1596287247&rnid=1389396031&s=electronics&sr=1-25
