,make,model
1138,Alpina,Genio
1139,Alpina,Goa
1140,Alpina,Jeep
1141,Alpina,KUV100
1142,Alpina,Marazzo
1143,Alpina,NuvoSport
1144,Alpina,Quanto
1145,Alpina,Reva
1146,Alpina,Scorpio
1147,Alpina,Thar
1148,Alpina,TUV300
1149,Alpina,Verito
1150,Alpina,XUV300
1151,Alpina,XUV500
1152,Alpina,Xylo
1153,Alpina,Autres
1154,Alpine,121
1155,Alpine,2
1156,Alpine,3
1157,Alpine,323
1158,Alpine,5
1159,Alpine,6
1160,Alpine,626
1161,Alpine,929
1162,Alpine,Atenza
1163,Alpine,Axela
1164,Alpine,B Series
1165,Alpine,Bongo
1166,Alpine,BT-50
1167,Alpine,Capella
1168,Alpine,CX-3
1169,Alpine,CX-30
1170,Alpine,CX-5
1171,Alpine,CX-7
1172,Alpine,CX-9
1173,Alpine,Demio
1174,Alpine,E Series
1175,Alpine,Familia
1176,Alpine,Millenia
1177,Alpine,MPV
1178,Alpine,MX-3
1179,Alpine,MX-30
1180,Alpine,MX-5
1181,Alpine,MX-6
1182,Alpine,Pick Up
1183,Alpine,Premacy
1184,Alpine,Protege
1185,Alpine,RX-7
1186,Alpine,RX-8
1187,Alpine,RX-9
1188,Alpine,Tribute
1189,Alpine,Xedos
1190,Alpine,Autres
1191,Amphicar,1000
1192,Amphicar,1300
1193,Amphicar,3/5 Portes
1194,Amphicar,Cooper
1195,Amphicar,Cooper D
1196,Amphicar,Cooper S
1197,Amphicar,Cooper SD
1198,Amphicar,Cooper SE
1199,Amphicar,John Cooper Works
1200,Amphicar,One
1201,Amphicar,One D
1202,Amphicar,Clubvan
1203,Amphicar,Gamme Cabrio (tous)
1204,Amphicar,Cooper Cabrio
1205,Amphicar,Cooper D Cabrio
1206,Amphicar,Cooper S Cabrio
1207,Amphicar,Cooper SD Cabrio
1208,Amphicar,John Cooper Works Cabrio
1209,Amphicar,One Cabrio
1210,Amphicar,Gamme Clubman (tous)
1211,Amphicar,Cooper Clubman
1212,Amphicar,Cooper D Clubman
1213,Amphicar,Cooper S Clubman
1214,Amphicar,Cooper SD Clubman
1215,Amphicar,John Cooper Works Clubman
1216,Amphicar,One Clubman
1217,Amphicar,One D Clubman
1218,Amphicar,Gamme Countryman (tous)
1219,Amphicar,Cooper Countryman
1220,Amphicar,Cooper D Countryman
1221,Amphicar,Cooper S Countryman
1222,Amphicar,Cooper SD Countryman
1223,Amphicar,Cooper SE Countryman
1224,Amphicar,John Cooper Works Countryman
1225,Amphicar,One Countryman
1226,Amphicar,One D Countryman
1227,Amphicar,Gamme Coupe (tous)
1228,Amphicar,Cooper Coupe
1229,Amphicar,Cooper D Coupe
1230,Amphicar,Cooper S Coupe
1231,Amphicar,Cooper SD Coupe
1232,Amphicar,John Cooper Works Coupe
1233,Amphicar,Gamme Paceman (tous)
1234,Amphicar,Cooper D Paceman
1235,Amphicar,Cooper Paceman
1236,Amphicar,Cooper S Paceman
1237,Amphicar,Cooper SD Paceman
1238,Amphicar,John Cooper Works Paceman
1239,Amphicar,Gamme Roadster (tous)
1240,Amphicar,Cooper Roadster
1241,Amphicar,Cooper S Roadster
1242,Amphicar,Cooper SD Roadster
1243,Amphicar,John Cooper Works Roadster
1244,Amphicar,Autres
1245,Ariel Motor,3000 GT
1246,Ariel Motor,400
1247,Ariel Motor,Airtrek
1248,Ariel Motor,ASX
1249,Ariel Motor,Attrage
1250,Ariel Motor,Canter
1251,Ariel Motor,Carisma
1252,Ariel Motor,Chariot
1253,Ariel Motor,Colt
1254,Ariel Motor,Cordia
1255,Ariel Motor,Cosmos
1256,Ariel Motor,Delica
1257,Ariel Motor,Diamante
1258,Ariel Motor,DINGO
1259,Ariel Motor,Dion
1260,Ariel Motor,Eclipse
1261,Ariel Motor,Eclipse Cross
1262,Ariel Motor,FTO
1263,Ariel Motor,Galant
1264,Ariel Motor,Galloper
1265,Ariel Motor,Grandis
1266,Ariel Motor,I-MiEV
1267,Ariel Motor,L200
1268,Ariel Motor,L300
1269,Ariel Motor,L400
1270,Ariel Motor,Lancer
1271,Ariel Motor,Legnum
1272,Ariel Motor,Libero
1273,Ariel Motor,Mirage
1274,Ariel Motor,Montero
1275,Ariel Motor,Outlander
1276,Ariel Motor,Pajero
1277,Ariel Motor,Pajero Pinin
1278,Ariel Motor,Pajero Sport
1279,Ariel Motor,PICK UP
1280,Ariel Motor,RVR
1281,Ariel Motor,Santamo
1282,Ariel Motor,Sapporo
1283,Ariel Motor,Shogun
1284,Ariel Motor,Sigma
1285,Ariel Motor,Space Gear
1286,Ariel Motor,Space Runner
1287,Ariel Motor,Space Star
1288,Ariel Motor,Space Wagon
1289,Ariel Motor,Starion
1290,Ariel Motor,Tredia
1291,Ariel Motor,Autres
1292,Artega,100 NX
1293,Artega,200 SX
1294,Artega,280 ZX
1295,Artega,300 ZX
1296,Artega,350Z
1297,Artega,370Z
1298,Artega,AD
1299,Artega,Almera
1300,Artega,Almera Tino
1301,Artega,Altima
1302,Artega,Armada
1303,Artega,Avenir
1304,Artega,Bassara
1305,Artega,Bluebird
1306,Artega,Cabstar
1307,Artega,Cargo
1308,Artega,Cedric
1309,Artega,Cefiro
1310,Artega,Cherry
1311,Artega,Cube
1312,Artega,Datsun
1313,Artega,E-NV200
1314,Artega,Elgrand
1315,Artega,Evalia
1316,Artega,Expert
1317,Artega,Figaro
1318,Artega,Frontier
1319,Artega,Gloria
1320,Artega,GT-R
1321,Artega,Interstar
1322,Artega,Juke
1323,Artega,King Cab
1324,Artega,Kubistar
1325,Artega,Laurel
1326,Artega,Leaf
1327,Artega,Liberty
1328,Artega,March
1329,Artega,Maxima
1330,Artega,Micra
1331,Artega,Murano
1332,Artega,Navara
1333,Artega,Note
1334,Artega,NP300
1335,Artega,NV200
1336,Artega,NV250
1337,Artega,NV300
1338,Artega,NV400
1339,Artega,Pathfinder
1340,Artega,Patrol
1341,Artega,Pick Up
1342,Artega,Pixo
1343,Artega,Prairie
1344,Artega,Presage
1345,Artega,Presea
1346,Artega,Primastar
1347,Artega,Primera
1348,Artega,Pulsar
1349,Artega,Qashqai
1350,Artega,Qashqai+2
1351,Artega,Quest
1352,Artega,R Nessa
1353,Artega,Rogue
1354,Artega,Safari
1355,Artega,Sentra
1356,Artega,Serena
1357,Artega,Silvia
1358,Artega,Skyline
1359,Artega,Stagea
1360,Artega,Stanza
1361,Artega,Sunny
1362,Artega,Teana
1363,Artega,Terrano
1364,Artega,Tiida
1365,Artega,Titan
1366,Artega,Trade
1367,Artega,Urvan
1368,Artega,Vanette
1369,Artega,Wingroad
1370,Artega,X-Trail
1371,Artega,Autres
1372,Aspid,Adam
1373,Aspid,Agila
1374,Aspid,Ampera
1375,Aspid,Antara
1376,Aspid,Arena
1377,Aspid,Ascona
1378,Aspid,Astra
1379,Aspid,Calibra
1380,Aspid,Campo
1381,Aspid,Cascada
1382,Aspid,Combo
1383,Aspid,Commodore
1384,Aspid,Corsa
1385,Aspid,Crossland X
1386,Aspid,Diplomat
1387,Aspid,Frontera
1388,Aspid,Grandland X
1389,Aspid,GT
1390,Aspid,Insignia
1391,Aspid,Kadett
1392,Aspid,Karl
1393,Aspid,Manta
1394,Aspid,Meriva
1395,Aspid,Mokka
1396,Aspid,Mokka X
1397,Aspid,Monterey
1398,Aspid,Monza
1399,Aspid,Movano
1400,Aspid,Omega
1401,Aspid,Pick Up Sportscap
1402,Aspid,Rekord
1403,Aspid,Senator
1404,Aspid,Signum
1405,Aspid,Sintra
1406,Aspid,Speedster
1407,Aspid,Tigra
1408,Aspid,Vectra
1409,Aspid,Vivaro
1410,Aspid,Zafira
1411,Aspid,Zafira Life
1412,Aspid,Zafira Tourer
1413,Aspid,Autres
1414,Aston Martin,Arnage Green Label
1415,Aston Martin,Arnage Red Label
1416,Aston Martin,Azure
1417,Aston Martin,Azure Mulliner
1418,Aston Martin,Camargue
1419,Aston Martin,Cloud
1420,Aston Martin,Continental R Mulliner
1421,Aston Martin,Continental R
1422,Aston Martin,Continental SC
1423,Aston Martin,Corniche
1424,Aston Martin,Cullinan
1425,Aston Martin,Dawn
1426,Aston Martin,Flying Spur
1427,Aston Martin,Ghost
1428,Aston Martin,Le Mains Series
1429,Aston Martin,Park Ward
1430,Aston Martin,Phantom
1431,Aston Martin,Phantom Drophead
1432,Aston Martin,Silver Dawn
1433,Aston Martin,Silver Seraph
1434,Aston Martin,Silver Shadow
1435,Aston Martin,Silver Spirit
1436,Aston Martin,Silver Spur
1437,Aston Martin,Silver Wraith
1438,Aston Martin,T
1439,Aston Martin,Touring
1440,Aston Martin,Wraith
1441,Aston Martin,Autres
1442,Austin,100
1443,Austin,111
1444,Austin,114
1445,Austin,115
1446,Austin,200
1447,Austin,213
1448,Austin,214
1449,Austin,216
1450,Austin,218
1451,Austin,220
1452,Austin,25
1453,Austin,400
1454,Austin,414
1455,Austin,416
1456,Austin,418
1457,Austin,420
1458,Austin,45
1459,Austin,600
1460,Austin,618
1461,Austin,620
1462,Austin,623
1463,Austin,75
1464,Austin,800
1465,Austin,820
1466,Austin,825
1467,Austin,827
1468,Austin,City Rover
1469,Austin,Estate
1470,Austin,Metro
1471,Austin,MINI
1472,Austin,Montego
1473,Austin,Rover
1474,Austin,SD
1475,Austin,Streetwise
1476,Austin,Tourer
1477,Austin,Autres
1478,Autobianchi,105
1479,Autobianchi,120
1480,Autobianchi,130
1481,Autobianchi,135
1482,Autobianchi,Citigo
1483,Autobianchi,Fabia
1484,Autobianchi,Favorit
1485,Autobianchi,Felicia
1486,Autobianchi,Forman
1487,Autobianchi,Kamiq
1488,Autobianchi,Karoq
1489,Autobianchi,Kodiaq
1490,Autobianchi,Octavia
1491,Autobianchi,Pick-up
1492,Autobianchi,Praktik
1493,Autobianchi,Rapid/Spaceback
1494,Autobianchi,Roomster
1495,Autobianchi,Scala
1496,Autobianchi,Snowman
1497,Autobianchi,Superb
1498,Autobianchi,Yeti
1499,Autobianchi,Autres
1500,Baic,Cybertruck
1501,Baic,Model 3
1502,Baic,Model S
1503,Baic,Model X
1504,Baic,Model Y
1505,Baic,Roadster
1506,Baic,Autres
1507,Bedford,4-Runner
1508,Bedford,Allion
1509,Bedford,Alphard
1510,Bedford,Altezza
1511,Bedford,Aristo
1512,Bedford,Auris
1513,Bedford,Avalon
1514,Bedford,Avensis
1515,Bedford,Avensis Verso
1516,Bedford,Aygo
1517,Bedford,BB
1518,Bedford,Belta
1519,Bedford,C-HR
1520,Bedford,Caldina
1521,Bedford,Cami
1522,Bedford,Camry
1523,Bedford,Carina
1524,Bedford,Celica
1525,Bedford,Chaser
1526,Bedford,Coaster
1527,Bedford,Corolla
1528,Bedford,Corolla Verso
1529,Bedford,Corona
1530,Bedford,Corsa
1531,Bedford,Cressida
1532,Bedford,Cresta
1533,Bedford,Crown
1534,Bedford,Duet
1535,Bedford,Dyna
1536,Bedford,Estima
1537,Bedford,FJ Cruiser
1538,Bedford,FJ40
1539,Bedford,Fortuner
1540,Bedford,Fun Cruiser
1541,Bedford,Funcargo
1542,Bedford,Gaia
1543,Bedford,GT86
1544,Bedford,Harrier
1545,Bedford,HDJ
1546,Bedford,Hiace
1547,Bedford,Highlander
1548,Bedford,Hilux
1549,Bedford,Ipsum
1550,Bedford,iQ
1551,Bedford,Ist
1552,Bedford,KJ
1553,Bedford,Land Cruiser
1554,Bedford,Land Cruiser Prado
1555,Bedford,Lite-Ace
1556,Bedford,Mark II
1557,Bedford,Matrix
1558,Bedford,Mirai
1559,Bedford,Model F
1560,Bedford,MR 2
1561,Bedford,Nadia
1562,Bedford,Noah
1563,Bedford,Opa
1564,Bedford,Paseo
1565,Bedford,Passo
1566,Bedford,Pick up
1567,Bedford,Picnic
1568,Bedford,Platz
1569,Bedford,Premio
1570,Bedford,Previa
1571,Bedford,Prius
1572,Bedford,Prius+
1573,Bedford,Proace
1574,Bedford,Ractis
1575,Bedford,Raum
1576,Bedford,RAV 4
1577,Bedford,Sequoia
1578,Bedford,Sienna
1579,Bedford,Solara
1580,Bedford,Sprinter
1581,Bedford,Starlet
1582,Bedford,Supra
1583,Bedford,Tacoma
1584,Bedford,Tercel
1585,Bedford,Town Ace
1586,Bedford,Tundra
1587,Bedford,Urban Cruiser
1588,Bedford,Venza
1589,Bedford,Verossa
1590,Bedford,Verso
1591,Bedford,Verso-S
1592,Bedford,Vista
1593,Bedford,Vitz
1594,Bedford,Voxy
1595,Bedford,Will
1596,Bedford,Windom
1597,Bedford,Wish
1598,Bedford,Yaris
1599,Bedford,Autres
1600,bmw,2002
1601,bmw,i3
1602,bmw,i8
1603,bmw,iX3
1604,bmw,M1
1605,bmw,Série 1 (tous)
1606,bmw,114
1607,bmw,116
1608,bmw,118
1609,bmw,120
1610,bmw,123
1611,bmw,125
1612,bmw,130
1613,bmw,135
1614,bmw,140
1615,bmw,Série 2 (tous)
1616,bmw,214
1617,bmw,216
1618,bmw,218
1619,bmw,220
1620,bmw,225
1621,bmw,228
1622,bmw,230
1623,bmw,235
1624,bmw,240
1625,bmw,Série 3 (tous)
1626,bmw,315
1627,bmw,316
1628,bmw,318
1629,bmw,320
1630,bmw,323
1631,bmw,324
1632,bmw,325
1633,bmw,328
1634,bmw,330
1635,bmw,335
1636,bmw,340
1637,bmw,Active Hybrid 3
1638,bmw,Série 4 (tous)
1639,bmw,418
1640,bmw,420
1641,bmw,425
1642,bmw,428
1643,bmw,430
1644,bmw,435
1645,bmw,440
1646,bmw,Série 5 (tous)
1647,bmw,518
1648,bmw,520
1649,bmw,523
1650,bmw,524
1651,bmw,525
1652,bmw,528
1653,bmw,530
1654,bmw,535
1655,bmw,540
1656,bmw,545
1657,bmw,550
1658,bmw,Active Hybrid 5
1659,bmw,Série 6 (tous)
1660,bmw,620
1661,bmw,628
1662,bmw,630
1663,bmw,633
1664,bmw,635
1665,bmw,640
1666,bmw,645
1667,bmw,650
1668,bmw,Série 7 (tous)
1669,bmw,725
1670,bmw,728
1671,bmw,730
1672,bmw,732
1673,bmw,735
1674,bmw,740
1675,bmw,745
1676,bmw,750
1677,bmw,760
1678,bmw,Active Hybrid 7
1679,bmw,Série 8 (tous)
1680,bmw,830
1681,bmw,840
1682,bmw,850
1683,bmw,Série M (tous)
1684,bmw,1er M Coupé
1685,bmw,M2
1686,bmw,M3
1687,bmw,M4
1688,bmw,M5
1689,bmw,M6
1690,bmw,M8
1691,bmw,M850
1692,bmw,Série X (tous)
1693,bmw,Active Hybrid X6
1694,bmw,X1
1695,bmw,X2
1696,bmw,X2 M
1697,bmw,X3
1698,bmw,X3 M
1699,bmw,X4
1700,bmw,X4 M
1701,bmw,X5
1702,bmw,X5 M
1703,bmw,X6
1704,bmw,X6 M
1705,bmw,X7
1706,bmw,X7 M
1707,bmw,Série Z (tous)
1708,bmw,Z1
1709,bmw,Z3
1710,bmw,Z3 M
1711,bmw,Z4
1712,bmw,Z4 M
1713,bmw,Z8
1714,bmw,Autres
1715,mercedes,170
1716,mercedes,180
1717,mercedes,190
1718,mercedes,200
1719,mercedes,208
1720,mercedes,210/310
1721,mercedes,220
1722,mercedes,230
1723,mercedes,240
1724,mercedes,250
1725,mercedes,260
1726,mercedes,270
1727,mercedes,280
1728,mercedes,300
1729,mercedes,308
1730,mercedes,320
1731,mercedes,350
1732,mercedes,380
1733,mercedes,400
1734,mercedes,416
1735,mercedes,420
1736,mercedes,450
1737,mercedes,500
1738,mercedes,560
1739,mercedes,600
1740,mercedes,Actros
1741,mercedes,AMG GT
1742,mercedes,Atego
1743,mercedes,CE (tous)
1744,mercedes,CE 200
1745,mercedes,CE 220
1746,mercedes,CE 230
1747,mercedes,CE 280
1748,mercedes,CE 300
1749,mercedes,Citan
1750,mercedes,CL (tous)
1751,mercedes,CL
1752,mercedes,CL 160
1753,mercedes,CL 180
1754,mercedes,CL 200
1755,mercedes,CL 220
1756,mercedes,CL 230
1757,mercedes,CL 320
1758,mercedes,CL 420
1759,mercedes,CL 500
1760,mercedes,CL 55 AMG
1761,mercedes,CL 600
1762,mercedes,CL 63 AMG
1763,mercedes,CL 65 AMG
1764,mercedes,CLA (tous)
1765,mercedes,CLA 180
1766,mercedes,CLA 200
1767,mercedes,CLA 220
1768,mercedes,CLA 250
1769,mercedes,CLA 35 AMG
1770,mercedes,CLA 45 AMG
1771,mercedes,Classe A (tous)
1772,mercedes,A 140
1773,mercedes,A 150
1774,mercedes,A 160
1775,mercedes,A 170
1776,mercedes,A 180
1777,mercedes,A 190
1778,mercedes,A 200
1779,mercedes,A 210
1780,mercedes,A 220
1781,mercedes,A 250
1782,mercedes,A 35 AMG
1783,mercedes,A 45 AMG
1784,mercedes,Classe B (tous)
1785,mercedes,B 150
1786,mercedes,B 160
1787,mercedes,B 170
1788,mercedes,B 180
1789,mercedes,B 200
1790,mercedes,B 220
1791,mercedes,B 250
1792,mercedes,B Electric Drive
1793,mercedes,Classe C (tous)
1794,mercedes,C 160
1795,mercedes,C 180
1796,mercedes,C 200
1797,mercedes,C 220
1798,mercedes,C 230
1799,mercedes,C 240
1800,mercedes,C 250
1801,mercedes,C 270
1802,mercedes,C 280
1803,mercedes,C 30 AMG
1804,mercedes,C 300
1805,mercedes,C 32 AMG
1806,mercedes,C 320
1807,mercedes,C 350
1808,mercedes,C 36 AMG
1809,mercedes,C 400
1810,mercedes,C 43 AMG
1811,mercedes,C 450
1812,mercedes,C 55 AMG
1813,mercedes,C 63 AMG
1814,mercedes,Classe E (tous)
1815,mercedes,E 200
1816,mercedes,E 220
1817,mercedes,E 230
1818,mercedes,E 240
1819,mercedes,E 250
1820,mercedes,E 260
1821,mercedes,E 270
1822,mercedes,E 280
1823,mercedes,E 290
1824,mercedes,E 300
1825,mercedes,E 320
1826,mercedes,E 350
1827,mercedes,E 36 AMG
1828,mercedes,E 400
1829,mercedes,E 420
1830,mercedes,E 43 AMG
1831,mercedes,E 430
1832,mercedes,E 450
1833,mercedes,E 50 AMG
1834,mercedes,E 500
1835,mercedes,E 53 AMG
1836,mercedes,E 55 AMG
1837,mercedes,E 550
1838,mercedes,E 60 AMG
1839,mercedes,E 63 AMG
1840,mercedes,Classe EQ (tous)
1841,mercedes,EQC 400
1842,mercedes,EQV 300
1843,mercedes,Classe G (tous)
1844,mercedes,G
1845,mercedes,G 230
1846,mercedes,G 240
1847,mercedes,G 250
1848,mercedes,G 270
1849,mercedes,G 280
1850,mercedes,G 290
1851,mercedes,G 300
1852,mercedes,G 320
1853,mercedes,G 350
1854,mercedes,G 400
1855,mercedes,G 500
1856,mercedes,G 55 AMG
1857,mercedes,G 63 AMG
1858,mercedes,G 65 AMG
1859,mercedes,G 650
1860,mercedes,Classe M (tous)
1861,mercedes,ML 230
1862,mercedes,ML 250
1863,mercedes,ML 270
1864,mercedes,ML 280
1865,mercedes,ML 300
1866,mercedes,ML 320
1867,mercedes,ML 350
1868,mercedes,ML 400
1869,mercedes,ML 420
1870,mercedes,ML 430
1871,mercedes,ML 450
1872,mercedes,ML 500
1873,mercedes,ML 55 AMG
1874,mercedes,ML 63 AMG
1875,mercedes,Classe R (tous)
1876,mercedes,R 280
1877,mercedes,R 300
1878,mercedes,R 320
1879,mercedes,R 350
1880,mercedes,R 500
1881,mercedes,R 63 AMG
1882,mercedes,Classe S (tous)
1883,mercedes,S 250
1884,mercedes,S 260
1885,mercedes,S 280
1886,mercedes,S 300
1887,mercedes,S 320
1888,mercedes,S 350
1889,mercedes,S 400
1890,mercedes,S 420
1891,mercedes,S 430
1892,mercedes,S 450
1893,mercedes,S 500
1894,mercedes,S 55 AMG
1895,mercedes,S 550
1896,mercedes,S 560
1897,mercedes,S 600
1898,mercedes,S 63 AMG
1899,mercedes,S 65 AMG
1900,mercedes,S 650
1901,mercedes,Classe V (tous)
1902,mercedes,V
1903,mercedes,V 200
1904,mercedes,V 220
1905,mercedes,V 230
1906,mercedes,V 250
1907,mercedes,V 280
1908,mercedes,V 300
1909,mercedes,Classe X (tous)
1910,mercedes,X 220
1911,mercedes,X 250
1912,mercedes,X 350
1913,mercedes,CLC
1914,mercedes,CLK (tous)
1915,mercedes,CLK
1916,mercedes,CLK 200
1917,mercedes,CLK 220
1918,mercedes,CLK 230
1919,mercedes,CLK 240
1920,mercedes,CLK 270
1921,mercedes,CLK 280
1922,mercedes,CLK 320
1923,mercedes,CLK 350
1924,mercedes,CLK 430
1925,mercedes,CLK 500
1926,mercedes,CLK 55 AMG
1927,mercedes,CLK 63 AMG
1928,mercedes,CLS (tous)
1929,mercedes,CLS
1930,mercedes,CLS 220
1931,mercedes,CLS 250
1932,mercedes,CLS 280
1933,mercedes,CLS 300
1934,mercedes,CLS 320
1935,mercedes,CLS 350
1936,mercedes,CLS 400
1937,mercedes,CLS 450
1938,mercedes,CLS 500
1939,mercedes,CLS 53 AMG
1940,mercedes,CLS 55 AMG
1941,mercedes,CLS 63 AMG
1942,mercedes,GL (tous)
1943,mercedes,GL 320
1944,mercedes,GL 350
1945,mercedes,GL 400
1946,mercedes,GL 420
1947,mercedes,GL 450
1948,mercedes,GL 500
1949,mercedes,GL 55 AMG
1950,mercedes,GL 63 AMG
1951,mercedes,GLA (tous)
1952,mercedes,GLA 180
1953,mercedes,GLA 200
1954,mercedes,GLA 220
1955,mercedes,GLA 250
1956,mercedes,GLA 35 AMG
1957,mercedes,GLA 45 AMG
1958,mercedes,GLB (tous)
1959,mercedes,GLB 180
1960,mercedes,GLB 200
1961,mercedes,GLB 220
1962,mercedes,GLB 250
1963,mercedes,GLB 35 AMG
1964,mercedes,GLC (tous)
1965,mercedes,GLC 200
1966,mercedes,GLC 220
1967,mercedes,GLC 250
1968,mercedes,GLC 300
1969,mercedes,GLC 350
1970,mercedes,GLC 400
1971,mercedes,GLC 43 AMG
1972,mercedes,GLC 63 AMG
1973,mercedes,GLE (tous)
1974,mercedes,GLE 250
1975,mercedes,GLE 300
1976,mercedes,GLE 350
1977,mercedes,GLE 400
1978,mercedes,GLE 43 AMG
1979,mercedes,GLE 450
1980,mercedes,GLE 500
1981,mercedes,GLE 53 AMG
1982,mercedes,GLE 580
1983,mercedes,GLE 63 AMG
1984,mercedes,GLK (tous)
1985,mercedes,GLK 200
1986,mercedes,GLK 220
1987,mercedes,GLK 250
1988,mercedes,GLK 280
1989,mercedes,GLK 300
1990,mercedes,GLK 320
1991,mercedes,GLK 350
1992,mercedes,GLS (tous)
1993,mercedes,GLS 350
1994,mercedes,GLS 400
1995,mercedes,GLS 450
1996,mercedes,GLS 500
1997,mercedes,GLS 580
1998,mercedes,GLS 600
1999,mercedes,GLS 63 AMG
2000,mercedes,Marco Polo
2001,mercedes,MB 100
2002,mercedes,SL (tous)
2003,mercedes,SL 230
2004,mercedes,SL 250
2005,mercedes,SL 280
2006,mercedes,SL 300
2007,mercedes,SL 320
2008,mercedes,SL 350
2009,mercedes,SL 380
2010,mercedes,SL 400
2011,mercedes,SL 420
2012,mercedes,SL 450
2013,mercedes,SL 500
2014,mercedes,SL 55 AMG
2015,mercedes,SL 560
2016,mercedes,SL 60 AMG
2017,mercedes,SL 600
2018,mercedes,SL 63 AMG
2019,mercedes,SL 65 AMG
2020,mercedes,SL 70 AMG
2021,mercedes,SL 73 AMG
2022,mercedes,SLC (tous)
2023,mercedes,SLC 180
2024,mercedes,SLC 200
2025,mercedes,SLC 250
2026,mercedes,SLC 280
2027,mercedes,SLC 300
2028,mercedes,SLC 350
2029,mercedes,SLC 380
2030,mercedes,SLC 43 AMG
2031,mercedes,SLC 450
2032,mercedes,SLC 500
2033,mercedes,SLK (tous)
2034,mercedes,SLK
2035,mercedes,SLK 200
2036,mercedes,SLK 230
2037,mercedes,SLK 250
2038,mercedes,SLK 280
2039,mercedes,SLK 300
2040,mercedes,SLK 32 AMG
2041,mercedes,SLK 320
2042,mercedes,SLK 350
2043,mercedes,SLK 55 AMG
2044,mercedes,SLR
2045,mercedes,SLS
2046,mercedes,Sprinter
2047,mercedes,T1
2048,mercedes,T2
2049,mercedes,Vaneo
2050,mercedes,Vario
2051,mercedes,Viano
2052,mercedes,Vito
2053,mercedes,Autres
2054,Audi,100
2055,Audi,200
2056,Audi,50
2057,Audi,80
2058,Audi,90
2059,Audi,A1
2060,Audi,A2
2061,Audi,A3
2062,Audi,A4
2063,Audi,A4 allroad
2064,Audi,A5
2065,Audi,A6
2066,Audi,A6 allroad
2067,Audi,A7
2068,Audi,A8
2069,Audi,Allroad
2070,Audi,Cabriolet
2071,Audi,Coupe
2072,Audi,e-tron
2073,Audi,Q1
2074,Audi,Q2
2075,Audi,Q3
2076,Audi,Q5
2077,Audi,Q7
2078,Audi,Q8
2079,Audi,QUATTRO
2080,Audi,R8
2081,Audi,RS
2082,Audi,RS Q3
2083,Audi,RS Q5
2084,Audi,RS Q8
2085,Audi,RS2
2086,Audi,RS3
2087,Audi,RS4
2088,Audi,RS5
2089,Audi,RS6
2090,Audi,RS7
2091,Audi,S1
2092,Audi,S2
2093,Audi,S3
2094,Audi,S4
2095,Audi,S5
2096,Audi,S6
2097,Audi,S7
2098,Audi,S8
2099,Audi,SQ2
2100,Audi,SQ3
2101,Audi,SQ5
2102,Audi,SQ7
2103,Audi,SQ8
2104,Audi,TT
2105,Audi,TT RS
2106,Audi,TTS
2107,Audi,V8
2108,Audi,Autres
2109,Volkswagen,181
2110,Volkswagen,Amarok
2111,Volkswagen,Anfibio
2112,Volkswagen,Arteon
2113,Volkswagen,Atlas
2114,Volkswagen,Beetle
2115,Volkswagen,Bora
2116,Volkswagen,Buggy
2117,Volkswagen,Bus
2118,Volkswagen,Caddy
2119,Volkswagen,CC
2120,Volkswagen,Coccinelle
2121,Volkswagen,Corrado
2122,Volkswagen,Crafter
2123,Volkswagen,Cross Touran
2124,Volkswagen,Derby
2125,Volkswagen,Eos
2126,Volkswagen,Escarabajo
2127,Volkswagen,Fox
2128,Volkswagen,Golf (tous)
2129,Volkswagen,Cross Golf
2130,Volkswagen,Golf
2131,Volkswagen,Golf Cabriolet
2132,Volkswagen,Golf GTI
2133,Volkswagen,Golf Plus
2134,Volkswagen,Golf Sportsvan
2135,Volkswagen,Golf Variant
2136,Volkswagen,Grand California
2137,Volkswagen,ID.3
2138,Volkswagen,Iltis
2139,Volkswagen,Jetta
2140,Volkswagen,Käfer
2141,Volkswagen,Karmann Ghia
2142,Volkswagen,Kever
2143,Volkswagen,L80
2144,Volkswagen,LT
2145,Volkswagen,Lupo
2146,Volkswagen,Maggiolino
2147,Volkswagen,New Beetle
2148,Volkswagen,Passat (tous)
2149,Volkswagen,Passat
2150,Volkswagen,Passat Alltrack
2151,Volkswagen,Passat CC
2152,Volkswagen,Passat Variant
2153,Volkswagen,Phaeton
2154,Volkswagen,Pointer
2155,Volkswagen,Polo (tous)
2156,Volkswagen,Polo
2157,Volkswagen,Polo Cross
2158,Volkswagen,Polo GTI
2159,Volkswagen,Polo Plus
2160,Volkswagen,Polo R WRC
2161,Volkswagen,Polo Sedan
2162,Volkswagen,Polo Variant
2163,Volkswagen,Routan
2164,Volkswagen,Santana
2165,Volkswagen,Scirocco
2166,Volkswagen,Sharan
2167,Volkswagen,T-Cross
2168,Volkswagen,T-Roc
2169,Volkswagen,T1
2170,Volkswagen,T2
2171,Volkswagen,T3 (tous)
2172,Volkswagen,T3
2173,Volkswagen,T3 Blue Star
2174,Volkswagen,T3 California
2175,Volkswagen,T3 Caravelle
2176,Volkswagen,T3 Kombi
2177,Volkswagen,T3 Multivan
2178,Volkswagen,T3 White Star
2179,Volkswagen,T4 (tous)
2180,Volkswagen,T4
2181,Volkswagen,T4 Allstar
2182,Volkswagen,T4 California
2183,Volkswagen,T4 Caravelle
2184,Volkswagen,T4 Kombi
2185,Volkswagen,T4 Multivan
2186,Volkswagen,T5 (tous)
2187,Volkswagen,T5
